name,artist,theme,lyrics
a conversation about identity,tea,mental health,Laying up at night No concept of myself Im lost inside my head Youre lost inside as well Im breathing in fresh air On my grandparents front porch While youre laying in the grass Or youre staring at the floor And anxious like I am Im panicking again Cause Im losing touch with all The people I call friends Youre losing in a staring contest With whatevers in your mirror You are me and I am you But were not one and Im inferior Im three beers past five too many Im two bowls past too high Im one forehead kiss away From falling asleep when I realize That my whole life is up in the air My heart is out on a tightrope And my mind is so unaware That the safety net was cut a long time ago So why should I remember When good times come around If the deafening silence of anxiety Will drown out the prettiest sounds At the bottom of a riverbed My nightmares are coming on They feel like my favorite song If I didnt know the words whenever it came on
A World Alone,Lorde,growth,That slow burn wait while it gets dark Bruising the sun I feel grown up with you in your car I know its dumb We both got a million bad habits to kick Not sleeping is one Were biting our nails youre biting my lip Im biting my tongue But people are talking people are talking But people are talking people are talking Raise a glass cause Im not done saying it They all wanna get rough get away with it Let em talk cause were dancing in this world alone World alone were alone All my fake friends and all of their noise Complain about work Theyre studying business I study the floor And you havent stopped smoking all night Maybe the internet raised us Or maybe people are jerks The people are talking people are talking But not you The people are talking people are talking Raise a glass cause Im not done saying it They all wanna get rough get away with it Let em talk cause were dancing in this world alone World alone were alone All the doubleedged people into schemes They make a mess then go home and get clean Youre my best friend and were dancing in a world alone World alone were all alone I know were not everlasting Were a train wreck waiting to happen One day the blood wont flow so gladly One day well all get still Get still The people are talking people are talking The people are talking people are talking Raise a glass cause Im not done saying it They all wanna get rough get away with it Let em talk cause were dancing in this world alone World alone were alone All the doubleedged people into schemes They make a mess then go home and get clean Youre my best friend and were dancing in a world alone World alone were all alone The people are talking people are talking The people are talking people are talking The people are talking people are talking The people are talking people are talking Let em talk
After Midnight,Phoenix,situationship,Somewhere somewhere somewhere to go Many years ago Would you allow? Could you allow? Thats what theyre like Did you look? Did you look? Heavenly heavenly sort of sounds adolescent Well I told you not not to look from the start? When the sun is almost gone its way too much Enough said enough sense Its unconventional When the sun is almost gone its not enough Suddenly finally without a yell Ill listen Ooh thats what well make in broad daylight Ooh soon youll realize its after midnight My memories souvenirs some originals High up in the rows Idolized canonized that morning rise I told you not I told you not No veneer behind the mirror Did you call from a distance? Well I told you not not to look from this side When the sun is almost gone its way too much Enough said enough sense Its unconventional When the sun is almost gone its not enough Suddenly finally without a yell Ill listen Ooh thats what were like in broad daylight Ooh soon youll realize its after midnight Listen its illicit Listen listen its illicit Listen listen its illicit Listen listen listen Listen its illicit Listen listen its illicit Listen listen its illicit Listen listen listen Ooh thats what well make in broad daylight Ooh soon youll realize its after midnight
Aim to Please,Shallow Alcove,mental health,"You'd be surprised How long you can do something you don't like I've lost years off of my life Deathly polite Couldn't make a choice to save my night I think I'll just stay inside I build my value on making Things easy for everyone but me Take it I aim to please Bending backwards Trying to be good has made me a liar Guilt is thick like mud on tires I'm for hire I'll become all that you desire Sitting pretty while I'm preaching to the choir I build my value on making Things easy for everyone but me Take it I aim to please My good behavior is labor There's money but none of it I see I want for nothing Ooo I build my value on making Things easy for everyone but me Take it I aim to please I wanna be a peach, I wanna start a fight I wanna be everything to everyone all of the time Oh, I try"
Ain't Together,King Princess,situationship,I know youre with me And Id love to see someone else call you And all this inbetween You think its hard for me to tell youre falling? Or were falling Being chill being chill with you Oh it kills I aint chill at all at all We say I love you but we aint together Do you think labels make it taste much better? Darling do you think that if I talk enough I will make you wanna be mine? We aint together Cut off all these hoes Baby you dont gotta worry bout nothin Cause everybody knows That you and I got that something Being chill being chill with you Oh it kills I aint chill at all at all We say I love you but we aint together Do you think labels make it taste much better? Darling do you think that if I talk enough I will make you wanna be mine? We aint together And I cant watch this fall apart We say I love you but we aint together Do you think labels make it taste much better? Darling do you think that if I talk enough I will make you wanna be mine? Til you dont say you and I aint together babe Aint together Aint together
All Night,The Dare,partying,I wake up at noon put on both of my shoes Crawl up back into bed and sleep until the evening Get on a bus downtown to blast Skip on the fare baby do you ever get the feeling? That we both know were alone But you cant go home When they kick us out in half an hour Theres a place I know LA to New York New York to LA All the other states we could stay up late Or all night LA to New York New York to LA I want more than fame hope you feel the same All night All night All night I cant really rest cause my mind keeps racing And Im wasted lying on the bed I wanna get up I wanna walk the streets with you Next to me we dont have to sleep until LA to New York New York to LA All the other states we could stay up late Or all night LA to New York New York to LA I want more than fame hope you feel the same All night My house to your house your car to my car Promise that its nice you can spend the night All night If youre feeling scared know theyre only tears You will be alright we can feel alive All night All Night All Night All Night All Night LA to New York New York to LA All the other states we could stay up late Or all night LA to New York New York to LA I want more than fame hope you feel the same All night My house to your house your car to my car Promise that its nice you can spend the night All night If youre feeling scared know theyre only tears You will be alright we can feel alive All night All night All night All night All All night All night All night All night All night Oww All night
All The Good Girls Go To Hell,Billie Eilish,religion,"My Lucifer is lonely Standing there, killing time Can't commit to anything but a crime Peter's on vacation, an open invitation Animals, evidence Pearly Gates look more like a picket fence Once you get inside 'em Got friends but can't invite them Hills burn in California My turn to ignore ya Don't say I didn't warn ya All the good girls go to Hell 'Cause even God herself has enemies And once the water starts to rise And Heaven's out of sight She'll want the Devil on her team My Lucifer is lonely Look at you needing me You know I'm not your friend without some greenery Walk in wearin' fetters Peter should know better Your cover up is caving in Man is such a fool, why are we saving him? Poisoning themselves now Begging for our help, wow Hills burn in California My turn to ignore ya Don't say I didn't warn ya All the good girls go to Hell (All the good girls go to Hell) 'Cause even God herself (God herself) has enemies And once the water starts to rise (Water starts to rise) And Heaven's out of sight She'll want the Devil on her team My Lucifer is lonely There's nothing left to save now My god is gonna owe me There's nothing left to save now Haha! I cannot do the snowflake"
All These Things That I've Done,The Killers,religion,"When there's nowhere else to run Is there room for one more son One more son If you can't hold on If you can't hold on Hold on I want to stand up, I want to let go You know, you know - no you don't, you don't I want to shine on in the hearts of men I want a meaning from the back of my broken hand Another head aches, another heart breaks I am so much older than I can take And my affection, well it comes and goes I need direction to perfection, no no no no Help me out Yeah, you know you got to help me out Yeah, oh don't you put me on the backburner You know you got to help me out And when there's nowhere else to run Is there room for one more son These changes ain't changing me The cold-hearted boy I used to be Yeah, you know you got to help me out Yeah, oh don't you put me on the backburner You know you got to help me out You're gonna bring yourself down Yeah, you're gonna bring yourself down Yeah, you're gonna bring yourself down I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier I got soul, but I'm not a soldier Yeah, you know you got to help me out Yeah, oh don't you put me on the backburner You know you got to help me out You're gonna bring yourself down You're gonna bring yourself down Yeah, oh don't you put me on the backburner Yeah, you're gonna bring yourself down Yeah, you're gonna bring yourself down Over and again, last call for sin While everyone's lost, the battle is won With all these things that I've done All these things that I've done (Time, truth, hearts) If you can hold on If you can hold on"
All Your Exes,Julia Michaels,exes,"I know where you've been, what you've done Who you loved is a part of who you are But that maturity ship sails when I hold you in my arms There's a spot on your chest just for me, it's personally addressed And anyone there before me should be a criminal offence When your friends tell stories about 2017 I know there's parts that they leave out to be considerate of me Wish I could be blissfully unaware of where you used to put your mouth And who you write your fucking songs about I want to live in a world where all your exes are dead I want to kill all the memories that you save in your head Be the only girl that's ever been in your bed I want to live in a world where all your exes are dead I want to live in a world where there's no exes at all Like you were waiting for me to be the first thing you fall for The only girl that's ever been in your bed I want to live in a world where all your exes are dead Please don't tell me if I accidentally stumble Into something that reminds you of her No, I don't need your previous logistics Where you spent your last Christmas Spare your past life specifics, oh And when your friends tell stories about 2023 I hope they hardly can recall there was a you without a me Wish I could be blissfully unaware of the history in your couch And who your songs all used to be about I want to live in a world where all your exes are dead I want to kill all the memories that you save in your head Be the only girl that's ever been in your bed I want to live in a world where all your exes are dead I want to live in a world where there's no exes at all Like you were waiting for me to be the first thing you fall for The only girl that's ever been in your bed I want to live in a world where all your exes are dead Don't tell me to make nice, that I should try to empathize I'm confident I've got them accurately demonized You tell me not to worry, I'm the only thing you see Well, yeah, I fucking better be I want to live in a world where all your exes are dead I want to kill all the memories that you save in your head Be the only girl that's ever been in your bed I want to live in a world where all your exes are dead I want to live in a world where there's no exes at all Like you were waiting for me to be the first thing you fall for The only girl that's ever been in your bed I want to live in a world where all your exes are dead"
Alley Rose,Conan Gray,heartbreak,I picked you up from the corner store Your eyes were red and your lips were torn So much to say thats subjectsore So much youd change since you were born You wrapped your fingers around my neck And pulled me into your desperate breath The way you kissed me hot and fast I knew itd be the last Dont leave me hangin alone again Dont leave me hangin alone again Oh whered you go go Alley Rose? Oh whered you go go go? You told me Im just so nervous dear Well how the hell do you think I feel? I waited all year at your feet Like maybe youd love me So Dont leave me hangin alone again Dont leave me hangin alone again Oh whered you go go Alley Rose? Oh whered you go go go? And I dont even care If it makes me sound insane I ran my fingers through your hair And I thanked God to touch the flame Cause I swore necks were made for bruisin I swore lips were made for lies And I thought if youd ever leave me That Id be the reason why And I dont even care If its just a summer fling If its all experimental And you go back to safer things But I swore hands were made for fighting I swore eyes were made to cry But youre the first person that Ive seen Whos proven that might be a lie So Dont leave me hangin alone again Dont leave me hangin Oh whered you go go Alley Rose? Oh whered you go go go? Oh Dont leave me hangin alone again Dont leave me hangin alone again Oh whered you go go Alley Rose? Oh whered you go go go? Dont leave me hangin alone again I thought that I was your only friend Oh whered you go go Alley Rose? Oh whered you go go go?
