name,artist,theme,lyrics
Chinese Satellite,Phoebe Bridgers,religion,Ive been running around in circles Pretending to be myself Why would somebody do this on purpose When they could do something else? Drowning out the morning birds With the same three songs over and over I wish I wrote it but I didnt so I learn the words Hum along til the feelings gone forever Took a tour to see the stars But they werent out tonight So I wished hard on a Chinese satellite I want to believe Instead I look at the sky and I feel nothing You know I hate to be alone I want to be wrong You were screaming at the Evangelicals They were screaming right back from what I remember When you said I will never be your vegetable Because I think when youre gone its forever But you know Id stand on the corner Embarrassed with a picket sign If it meant I would see you When I die Sometimes when I cant sleep Its just a matter of time before Im hearing things Swore I could feel you through the walls But thats impossible I want to believe That if I go outside Ill see a tractor beam Coming to take me to where Im from I want to go home
Choke,I DONT KNOW HOW BUT THEY FOUND ME,hate,Stop drop And drag me into place And lock the fire escapes Ill break your pretty face Yeah yeah Oh you clever little things The sycophantic teens What a precious basket case Yeah yeah Now shut your dirty mouth If I could burn this town I wouldnt hesitate To smile while you suffocate and die And that would be just fine And what a lovely time that it would surely be So bite your tongue And choke yourself to sleep You get everything you want And money always talks To the idiot savants Yeah yeah Now shut your dirty mouth If I could burn this town I wouldnt hesitate To smile while you suffocate and die And that would be just fine And what a lovely time that it would surely be So bite your tongue And choke yourself to sleep Now shut your dirty mouth If I could burn this town I wouldnt hesitate To smile while you suffocate and die And that would be just fine oh! And what a lovely time That it would surely be So bite your tongue And choke yourself
Christine,Lucy Dacus,unrequited,Youre falling asleep on my shoulder In the back of your boyfriends car Were coming home from a sermon Saying how bent and evil we are I try to imagine what youre dreaming Youre muttering nonsense between steady breathing I have to wake you up to get out Your man waves from the end of the drive til Im in the house He can be nice sometimes Other nights you admit hes not what you had in mind All in all nobodys perfect There may be better but you dont feel worth it Thats where we disagree You always wanted to raise a baby by the lake Maybe theyll grow up and never make the same mistakes Knowing you theyd be the first kid to never hurt another I see you look at him and wonder if hell make you a mother But if you get married Id object Throw my shoe at the altar and lose your respect Id rather lose my dignity Than lose you to somebody who wont make you happy
Cicero Mills,Shallow Alcove,reminiscing,No Im not angry with your friends for making you leave that night It just couldve been different Ive been thinking of ways that I could clean up And be a better person Howve you been? They say Brooklyns looking good on you Ill believe it when I see it Dotted line hear you when I drive sometimes Do you know that you Ruined every song we sang along to Nothing stays the same And I feel like I am just caught up in thinking If all I know is change Then whyd I think something would come of this feeling Early birthdays Young for my age you were older than me Always wanted to be Acting tough dress it up so youd like what you see Wish someone wouldve stopped me At the time I was scared to drive fake ID at the show Cause I didnt want you to know Over my head Stayed in your bed Could you check the time? Your voice starts to sound just like mine And nothing stayed the same And I feel like I am just caught up in thinking If all I know is change Then whyd I think something would come of this feeling Ghost on your doorstep I cant help but see it You can find me when it all comes crashing down See it all so clearly when I pass your house now You can leave but I wont wait around for you So Ill be here when everything comes crashing down on you You can find me when it all comes crashing down
Circle the Drain,Katy Perry,toxic relationship,"""This is the last time, "" you say After the last line, you break It's not even a holiday Nothin' to celebrate ('brate, 'brate, 'brate) You give a hundred reasons why And say you're really gonna try If I had a nickel for every time I'd own the bank (bank, bank, bank) Thought that I was the exception I could rewrite your addiction You could've been the greatest But you'd rather get wasted You fall asleep during foreplay 'Cause the pills you take are more your forté I'm not stickin' around to watch you go down (down) Wanna be your lover, not your fuckin' mother Can't be your savior, I don't have the power I'm not gonna stay and watch you circle the drain Watch you circle the drain, watch you circle the drain You say it helps you write your rhymes Whatever helps you sleep at night You've become what you despise A stereotype-type-type-type You think you're so rock 'n' roll But you're really just a joke Had the world in the palm of your hands But you fuckin' choked Should've been my teammate Could've changed your fate You say that you love me You won't remember in the morning You fall asleep during foreplay 'Cause the pills you take are more your forté I'm not stickin' around to watch you go down (oh-oh) Wanna be your lover, not your fuckin' mother Can't be your savior, I don't have the power I'm not gonna stay and watch you circle the drain Watch you circle the drain, watch you circle the drain You fall asleep during foreplay 'Cause the pills you take are more your forte I'm not stickin' around (I'm not stickin' around) To watch you go down (I'm not stickin' around) Wanna be your lover, not your fuckin' mother Can't be your savior, I don't have the power I'm not gonna stay and watch you circle the drain Watch you circle the drain, watch you circle the drain Watch you circle the drain Watch you circle the drain You're goin' down, you're goin' down You're goin' down, you're goin' down, down, down You fall asleep during foreplay 'Cause the pills you take are more your forté I'm not stickin' around to watch you go down"
Claire,Déyyess,unrequited,"Wide-eyed Nosedive My cherry flavoured high Cos I saw you At The Rosevine Blonde hair Cool girl Just tryna rule the world But you already do In my universe Been thinking of you While I'm on the verge Too shy Come here Too scared I'll disappear Cos you're already mine In my universe Still thinking of you While I'm on the verge Claire Whenever you're there You just go round in my head And I feel like you don't even care You're on my mind All the time Can't stop thinking about you Kiss my thighs Touch me nice Just this time Got me looking in your Soft green eyes Hit me hard Make it last Watch me fall Into your shattered glass Don't you dare Let me look away Claire Whenever you're there You just go round in my head And I feel like you don't even care You just need to care Claire, Claire, Claire Hit me hard Make it last Watch me fall Into your shattered glass Don't you dare Let me look away"
Class of 2013,Mitski,growing up,"Mom, I'm tired Can I sleep in your house tonight? Mom, is it alright If I stay for a year or two? Mom, I'll be quiet It would be just to sleep at night And I'll leave once I figure out How to pay for my own life too Mom, would you wash my back? This once, and then we can forget And I'll leave what I'm chasing For the other girls to pursue Mom, am I still young? Can I dream for a few months more?"
Clean,Taylor Swift,moving on,The drought was the very worst Ohoh ohoh When the flowers that wed grown together died of thirst It was months and months of back and forth Ohoh ohoh Youre still all over me Like a winestained dress I cant wear anymore Hung my head as I lost the war And the sky turned black like a perfect storm Rain came pouring down When I was drowning thats when I could finally breathe And by morning Gone was any trace of you I think I am finally clean Oh oh oh oh There was nothing left to do Ohoh ohoh When the butterflies turned to dust that covered my whole room So I punched a hole in the roof Ohoh ohoh Let the flood carry away all my pictures of you The water filled my lungs I screamed so loud But no one heard a thing Rain came pouring down When I was drowning thats when I could finally breathe And by morning Gone was any trace of you I think I am finally clean Oh oh oh oh I think I am finally clean Oh oh Oh oh oh oh ohoh Said I think I am finally clean Oh oh Oh oh oh oh ohoh Ten months sober I must admit Just because youre clean dont mean you dont miss it Ten months older I wont give in Now that Im clean Im never gonna risk it The drought was the very worst Ohoh ohoh When the flowers that wed grown together died of thirst Oh Rain came pouring down When I was drowning thats when I could finally breathe And by morning Gone was any trace of you I think I am finally clean Rain came pouring down When I was drowning thats when I could finally breathe And by morning Gone was any trace of you I think I am finally clean Finally clean Think Im finally clean oh oh Ohoh ohoh Oh oh oh Think Im finally clean
Closer,Tegan and Sara,crush,"All I want to get is, a little bit closer All I want to know is, can you come a little closer? Here comes the breath before we get, a little bit closer Here comes the rush before we touch, come a little closer The doors are open, the wind is really blowing The night sky is changing overhead It's not just all physical I'm the type who won't get oh so critical So let's make things physical I won't treat you like you're oh so typical I won't treat you like you're oh so typical All you think of lately is getting underneath me All I dream of lately is how to get you underneath me Here comes the heat before we meet, a little bit closer Here comes the spark before the dark, come a little closer The lights are off and the sun is finally setting The night sky is changing overhead It's not just all physical I'm the type who won't get oh so critical So let's make things physical I won't treat you like you're oh so typical I want you close, I want you I won't treat you like you're typical I want you close, I want you I won't treat you like you're typical Here come the dreams of you and me Here come the dreams Here come the dreams of you and me Here come the dreams It's not just all physical I'm the type who won't get oh so critical So let's make things physical I won't treat you like you're oh so typical I want you close, I want you I won't treat you like you're typical I want you close, I want you I won't treat you like you're typical I won't treat you like you're typical I won't treat you like you're typical All I want to get is, a little bit closer All I want to know is, can you come a little closer?"
closure,Taylor Swift,moving on,Its been a long time And seeing the shape of your name Still spells out pain It wasnt right The way it all went down Looks like you know that now Yes I got your letter Yes Im doing better It cut deep to know ya Right to the bone Yes I got your letter Yes Im doing better I know that its over I dont need your closure Your closure Dont treat me like some situation that needs to be handled Im fine with my spite And my tears And my beers and my candles I can feel you smoothing me over Yes I got your letter Yes Im doing better It cut deep to know ya Right to the bone Yes I got your letter Yes Im doing better I know that its over I dont need your closure Your closure Your closure Your closure I know Im just a Wrinkle in your new life Staying friends Would iron it out so nice Guilty guilty reaching out across the sea That you put between you and me But its fake And its oh so unnecessary Yes I got your letter Yes Im doing better It cut deep to know ya Right to the bone Yes I got your letter Yes Im doing better I know that its over I dont need your closure closure Your closure Your closure
Club classics,Charli XCX,partying,Right now right now right now right now right now right now Its its like its like When I go to the club I wanna hear those club classics Club classics club club classics When I go to the club I wanna hear those club classics Club classics club club classics When I go to the club I wanna hear those club classics Club classics club club classics Yeah I wanna dance to me I wanna dance to A. G I wanna dance with George I wanna dance to SOPHIE I wanna dance to HudMo Play the track fast not slow pull it back twice lets go Sweat marks all on my clothes tight like Mike kinda flow Yeah I wanna be blinded by the lights lights lights Right now right now right now right now Right now right now right now right now Right now right now right now right now Right now right now right now right now Put your hands up and dance Yeah Im gonna dance all night thats right All night never gonna stop til the morning light Put your hands up and dance Yeah Im gonna dance all night thats right All night never gonna stop never gonna stop oh Yeah I wanna dance to me me me me me When I get to the club club club fuck fuck fuck fuck yeah Yeah I wanna dance to me me me me me When I get to the club club club fuck fuck fuck fuck yeah Yeah I wanna dance to me me me me me put your hands up and Im gonna When I get to the club club club fuck fuck fuck Yeah I wanna dance to me me me me me put your hands up and Im gonna When I get to the club club club fuck fuck fuck Put your hands up and dance Yeah Im gonna dance all night thats right All night never gonna stop til the morning light Put your hands up and dance Yeah Im gonna dance all night thats right All night never gonna stop never gonna stop oh I wanna dance to me When I go to the club like like its like its like its like I wanna dance to me When I go to the club its like its like its like I yeah I yeah like like its like its like its like When I go to the club its like its like its like
Cold Brew,BEL,situationship,I wanna tell you that I miss you Im writing drafts in my notes app And I never even had you But I really want you back Its only cause Im lonely But no one ever says that Its funny when its smoky Oh I keep it in I never spill I can be good I can be chill Dont have to worry bout me Oh I keep it in I never spill I can be good I can be chill Dont have to worry bout me Well you never really said why So I had to make it up myself Made you out to be the bad guy Had to do it for my health Let a couple days go by too quiet Sending me through a downward spiral Giving it too much weight now Im crushed Say it right to my face or just Hold me cause Im lonely No I never said that Its funny when its smoky It makes a better sunset Oh I keep it in I never spill I can be good I can be chill Dont have to worry bout me Oh I keep it in I never spill I can be good I can be chill Dont have to worry bout me Its only cause Im lonely No one ever says that Its only cause Im lonely No one ever says that
Cold Cold Man,Saint Motel,happy,"Oh, my love I know, I am a cold, cold man Quite slow to pay you compliments Or public displayed affections But baby, don't you go over analyze No need to theorize I can put your doubts to rest You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you Oh, my love I know you're used to desperate men Who said the words that others said? For too long, and for too often But baby, you can lay off a little bit No need to smother it I can put your doubts to rest You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you You're the only one worth seeing The only place worth being The only bed worth sleeping's the one right next to you"
Colors,Ava Maybee,moving on,"What was the color of your eyes again? Somebody here just brought you up I'm three tequilas deep and I forget But honestly, I'm not that drunk My sweater still smells like your cigarettes I guess you ain't been gone too long My friends keep asking, ""Aren't you missing him"" No It's probably 'cause you did me wrong What was that song you always play I was just humming it yesterday Don't remember any words, it chose to stick around is strange Got your hands on my skin, I didn't ask for this to end Didn't have to say goodbye, but you didn't have to kiss my friend Every time you see an orange car I hope that you remember mine Nothing phases me anymore, you're not as terrifying There's things that I wish I could forget (forget), forget What was the color of your eyes again? Somebody here just brought you up I'm three tequilas deep and I forget But honestly, I'm not that drunk My sweater still smells like your cigarettes I guess you ain't been gone too long What was the color of your eyes again Somebody here just brought you up Get me down, get me so low Teach me not to trust anyone Had no problem letting you go Easiest thing that I've ever done Every time you see an orange car I hope that you remember mine Nothing phases me anymore, you're not as terrifying There's things that I wish I could forget (forget), forget What was the color of your eyes again? Somebody here just brought you up I'm three tequilas deep and I forget But honestly, I'm not that drunk My sweater still smells like your cigarettes I guess you ain't been gone too long What was the color of your eyes again Somebody here just brought you up"
Come Over,Dagny,crush," keep going back to when I laid eyes on you 'Cause ever since then you've been on my mind You gave me that look and suddenly I felt new Now I'm watching my phone late in to the night But it's been days, I hate to wait I guess that we're both too shy to call up I wish you would speak your mind And tell me that you also want me closer 'Cause, baby, when I think about you I come alive You should come over (uh-uh) Let me get to know you (hey) I'm picturing you when the light hits your face in the morning Yeah, I need to know ya (hey) You should come over There's not a moment I don't want to talk to ya There's so many things that I wanna know Like your favorite place, your favorite song And all of the secrets that nobody knows Let it all be uncovered So tell me why we're wasting time? We both know we want to get in closer 'Cause, baby, when I think about you I come alive You should come over (uh-uh) Let me get to know you (hey) I'm picturing you when the light hits your face in the morning Yeah, I need to know ya (hey) You should come over You should come over (hey) Stay as long as you wanna (hey) With the sun on your skin as I'm taking you in for a moment (hey) Yeah, I need to know ya You should come over I know we got busy schedules I know we got busy minds So, why don't we just ease each other Get lost in me, I'll get lost in you 'Cause, baby, when I think about you I come alive You should come over (uh-uh) Stay as long as you wanna With the sun on your skin as I'm taking you in for a moment Yeah, I need to know ya (hey) You should come over (hey) You should come over (hey) (uh-uh) Stay as long as you wanna (hey) With the sun on your skin as I'm taking you in for a moment Yeah, I need to know you You should come over"
Conceited,Lola Young,hate,I swim too quickly Cause big waves are hard to jump over Youre not sweet not sickly You dont taste like nothing when Im sober And I already wanna die You just make it like ten times worse And I heard that you tell the guys Im the worst You come round on Monday And goddamn you stink like youve missed me I find it funny You dont close your eyes when you kiss me And Im sick of your puppy eyes You said boys should never cry Well surprise I bet no ones ever told you You bought me some flowers I gave them to someone else Told me that you loved me youre just talking to yourself I dont wanna know I dont wanna hear it Let yourself out youre so conceited yeah yeah You bought me some flowers I gave them to someone else Told me that you loved me youre just talking to yourself And I dont wanna know I dont wanna hear it Let yourself out youre so conceited yeah yeah Youre far too easy You hide between the lines but I read you Its a pity I get off when I mislead you And say I I dont want no others guy Pretend I love your suit and tie Its fun playing with a mans mind for once And you say come over Say please I might think about it You lost composure And I dont think you ever found it And Im sick of your puppy eyes You said boys should never cry Well surprise I bet no ones ever told you You bought me some flowers I gave them to someone else Told me that you loved me youre just talking to yourself I dont wanna know I dont wanna hear it Let yourself out youre so conceited yeah yeah You bought me some flowers I gave them to someone else Told me that you loved me youre just talking to yourself I dont wanna know I dont wanna hear it Let yourself out youre so conceited yeah yeah You bought me some flowers I gave them to someone else Told me that you loved me youre just talking to yourself And I dont wanna know I dont wanna hear it Let your goddamn self out youre so conceited yeah yeah
coney island,Taylor Swift,heartbreak,Break my soul in two looking for you But youre right here If I cant relate to you anymore Then who am I related to? And if this is the long haul Howd we get here so soon? Did I close my fist around something delicate? Did I shatter you? And Im sitting on a bench in Coney Island Wondering where did my baby go? The fast times the bright lights the merrygo Sorry for not making you my centerfold Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down The question pounds my head Whats a lifetime of achievement If I pushed you to the edge? But you were too polite to leave me Do you miss the rogue Who coaxed you into paradise and left you there? Will you forgive my soul When youre too wise to trust me and too old to care? Cause we were like the mall before the internet It was the one place to be The mischief the giftwrapped suburban dreams Sorry for not winning you an arcade ring Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down Were you waiting at our old spot In the tree line by the gold clock? Did I leave you hanging every single day? Were you standing in the hallway with a big cake? Happy birthday Did I paint your bluest skies the darkest gray? A universe away And when I got into the accident The sight that flashed before me was your face But when I walked up to the podium I think that I forgot to say your name Im on a bench in Coney Island Wondering where did my baby go? The fast times the bright lights the merrygo Sorry for not making you my centerfold Over and over Lost again with no surprises Disappointments close your eyes And it gets colder and colder When the sun goes down When the sun goes down The sight that flashed before me was your face When the sun goes down But I think that I forgot to say your name Over and over Sorry for not making you my making you my Making you my centerfold
Confessional,Etta Marcus,mental health,"I've got a pain in my brain and it's crushing me When I feel okay, it changes so easily And I'm scared that my problems will eat me for breakfast 'Cause I've got a pain in my brain and it's crushing me And I'm not kidding I can't get up in the morning I'm being so dramatic Don't ask me how I'm doing You know how I'm doing, mmh Kicked out of school, I don't work, I don't brush my teeth Laughing along to the laughing tracks on TV And I'm scared that my problems will eat me for breakfast 'Cause I've got a pain in my brain and it's crushing me And I'm not kidding I can't get up in the morning I'm being so dramatic Don't ask me how I'm doing You know how I'm doing If you know me, you'll never ask Don't look at me, don't ever ask If you know me, you'll never ask Don't look at me, don't ever ask"
Confident,Demi Lovato,empowerment,"Are you ready? Ha It's time for me to take it, I'm the boss right now Not gonna fake it, not when you go down 'Cause this is my game And you better come to play (come to play) I used to hold my freak back, now I'm lettin' go I make my own choice, yeah, I run this show (bitch) So leave the lights on No, you can't make me behave (ha, ha, ha) So you say I'm complicated That I must be out my mind But you've had me underrated, rated, rated (uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Uh-huh) It's time to get the chains out, is your tongue tied up? 'Cause this is my ground and I'm dangerous And you can get off But it's all 'bout me tonight (tonight, ha, ha, ha) So you say I'm complicated That I must be out my mind But you've had me underrated, rated, rated (uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Uh-huh, yeah) What's wrong with bein' (yeah), what's wrong with bein' (yeah) What's wrong with bein' confident? (Uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Uh-huh) Uh-huh Hey Ah, yeah So you say I'm complicated But you've had me underrated Yeah, yeah (uh-huh) What's wrong with bein', what's wrong with bein' (what's wrong with bein') What's wrong with bein' confident? (Uh-huh) What's wrong with bein', what's wrong with bein' What's wrong with bein' confident? (Oh, yeah, uh-huh) What's wrong with bein', what's wrong with bein' (what's wrong with bein') What's wrong with bein' confident? (Uh-huh) What's wrong with bein' (oh), what's wrong with bein' What's wrong with bein' confident? (Confident, uh-huh)"
Consequences,DAPHNE,hate,Came in a tidal wave A total waste of a perfect place You said wed go my pace Yet at the end of the race you love the chase Clothes are off pillow talk Is this all that you want? Ive been lying to myself That we could be something else Who can I trust? Who can I love? Call it a bluff thats all it was You would say goodbye to me While youre putting on your jeans You cant think about the consequences no no You cant think about the consequences oh no But even after all the consequences Oh youd do it all again Fuck it all up again damn Thats one quick turn around I was seeing hearts now Im crying on the ground Try not to blame myself that youre happier Being by yourself Clothes are off pillow talk Is this all that you want? Ive been lying to myself That we could be something else Who can I trust? Who can I love? Call it a bluff thats all it was You would say goodbye to me While youre putting on your jeans You cant think about the consequences no no You cant think about the consequences oh no But even after all the consequences Oh youd do it all again Fuck it all up again damn The worst part is I think youre gonna come back Your names still in my phone wishing youd want that You dont think about the consequences You cant think about the consequences But even after all the consequences Youd do it all again Fuck it all up again damn
Cool Girl,Tove Lo,situationship,You can run free I wont hold it against ya You do your thing never wanted a future Fuck if I knew how to put it romantic Speaking my truth theres no need to panic No lets not put a label on it Lets keep it fun We dont put a label on it So we can run free yeah I wanna be free like you Im a Im a Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Rules you dont like but you still wanna keep em Said you were fine so for whatever reason Sure we can chill try and keep it platonic Now you cant tell if Im really ironic No lets not put a label on it Lets keep it fun We dont put a label on it So we can run free yeah I wanna be free like you Im a Im a Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy I got fever highs I got boiling blood Im that fire kind We could burn together Im a Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy Im a cool girl Im a Im a cool girl Too cool for you Im a cool girl Im a Im a cool girl Im a Im a cool girl Im a Im a cool girl Ice cold I roll my eyes at you boy
Cool With You,Her's,crush,We dont have to know Anyone at all Anyone at all Draw the blinds back slow Sun fades in our room Two begin to bloom Silk skin lovers danced With diamonds in their hands Diamonds in their hands We could feel like them Rarely would we ask Of things we used to have Is that cool with you? That I wanna call your name Is that cool with you? That I wanna call your name Is that news to you? That I wanna call your name Is that cool with you? That I wanna call We dont have to go Anywhere at all Anywhere at all Bless our gardens growth Ivy climbs the wall Heather in the fall Smokescreen those who stand So righteous in our path That never thought to ask Well define whats fair Oh baby they prefer Illusion to despair Is that cool with you? That I wanna call your name Is that cool with you? That I wanna call your name Is that news to you? That I wanna call your name Is that cool with you? That I wanna call I see their heads against the windows Breathing on the glass Dreaming of the day that they can finally relax If only this normality Belonged to more than fantasy Its too much Well theyre hoping and faking Theyre curled in disdain The flowers too tall for the table again But its alright they called it faith Is that cool with you? That I wanna call your name Is that cool with you? That I wanna call your name
Coping On Unemployment,Del Water Gap,situationship,"Daily, she sends me photos of her She's only 20-something Terrible with her iPhone Left me another voicemail Saying, ""Sorry, I didn't text you I haven't been sleepin' well"" It's a slow burn, coping on unemployment Crackin' her fingers often I ask her what we're doin' She tries to change the subject Saying, ""I'm scared of turnin' Into a parod of myself"" And it's hard To give yourself over to somethin' It's hard To give yourself over to somethin' Sunday, she puts on Sky Ferreira She finishes herself first She slept in her mascara And says, ""I think your music got worse Since you went fully sober At least now you won't kill yourself"" You need to get some help And it's hard To give yourself over to somethin' (give yourself over, over) (Give yourself over, over) It's hard To give yourself over to somethin' (give yourself over) When it could all turn into nothin' (give yourself over, over) And now I'm afraid to throw you in a different light I'm waiting on the moment when we get it right You're sleepin' all alone, I'm sittin' up at night I'm so in my head, I'm so in my head It's hard To give yourself over And it's hard To give yourself over to somethin' (give yourself over, over) (Give yourself over, over) It's hard To give yourself over to somethin' (give yourself over, over) (Give yourself over, over) And now I'm..."
Coraline,Lyn Lapid,mental health,"So I'm sipping my cup, sick of thinking straight 'Cause I'm a sitting duck in a pit of snakes I'm in the twilight zone and there ain't no slippin' away Say I won't do it again And then I do it again Hopin' for different outcome Hopin' there's more to this Oh, I feel like Coraline Everywhere I go, nothin' feels like home Oh, I feel like Coraline Everywhere I go, nothin' feels like home So do I roll the dice 'Cause I bet there's more right on the The other side of the open door But there's a price to pay Is it more than I can afford? Say I won't do it again Oh, I won't do it again And then I do it again And again and again Hopin' for different outcome Hopin' there's more to this Oh, I feel like Coraline Everywhere I go, nothin' feels like home Oh, I feel like Coraline Everywhere I go, nothin' feels like home Nothing feels like home Nothing feels like Nothing feels like home Oh, I feel like Nothing feels like home Nothing feels like Nothing feels like home Oh, I feel like Coraline Everywhere I go, nothin' feels like home Oh, I feel like Coraline Everywhere I go, nothin' feels like home Nothing feels like home Nothing feels like Nothing feels like home Oh, I feel like"
Cottontail,nep,love,Consistent in how I Wander into you My nerves feel like a cottontail whos been placed in a field full of grasses Clovers flowers and shoots MmMm If your name were River Id legally change mine to a nature related term Like Fern! So I could be the grasses sittin by you I bet youd look good in December Youd hide those arms away How do you do? I wish that I was a lady like you So I could seem as pretty as you in December C C O O T T T T O O N N T A I L MmMm Wading through the lily pads as water finds my Hand stuffed in my pocket holding close a flow_r Picked just a minute ago specially for you MmMm And If you need_d sugar Id bring you a dozen cups full of the brownest sugar In all the stores in the city and country I would Oh cottontail trippin on your cottontail Oh cottontail trippin on your cottontail Oh cottontail trippin on your cottontail Oh cottontail trippin on your cottontail I bet youd look good in December Oh cottontail trippin on your cottontail Youd hide those arms away Oh cottontail How do you do? Trippin on your cottontail I wish that I was a Oh cottontail Lady like you Trippin on your cottontail So I could seem as pretty as you Oh cottontail In December Trippin on your cottontail I bet youd look good in December Oh cottontail trippin on your cottontail Youd hide those arms away Oh cottontail How do you do? Trippin on your cottontail I wish that I was a Oh cottontail Lady like you Trippin on your cottontail So I could seem as pretty as you Oh cottontail In December Trippin on your cottontail
Cruel Summer,Taylor Swift,crush,Fever dream high in the quiet of the night You know that I caught it oh yeah youre right I want it Bad bad boy shiny toy with a price You know that I bought it oh yeah youre right I want it Killing me slow out the window Im always waiting for you to be waiting below Devils roll the dice angels roll their eyes What doesnt kill me makes me want you more And its new the shape of your body Its blue the feeling Ive got And its ooh whoaoh Its a cruel summer Its cool  thats what I tell em No rules in breakable heaven But ooh whoaoh Its a cruel summer with you yeah yeah Hang your head low in the glow of the vending machine Im not dying oh yeah youre right I want it You say that well just screw it up in these trying times Were not trying oh yeah youre right I want it So cut the headlights summers a knife Im always waiting for you just to cut to the bone Devils roll the dice angels roll their eyes And if I bleed youll be the last to know oh Its new the shape of your body Its blue the feeling Ive got And its ooh whoaoh Its a cruel summer Its cool  thats what I tell em No rules in breakable heaven But ooh whoaoh Its a cruel summer with you Im drunk in the back of the car And I cried like a baby coming home from the bar oh Said Im fine  but it wasnt true I dont wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate oh And I screamed For whatever its worth I love you aint that the worst thing you ever heard? He looks up grinnin like a devil Its new the shape of your body Its blue the feeling Ive got And its ooh whoaoh Its a cruel summer Its cool  thats what I tell em No rules in breakable heaven But ooh whoaoh Its a cruel summer with you Im drunk in the back of the car And I cried like a baby coming home from the bar oh Said Im fine  but it wasnt true I dont wanna keep secrets just to keep you And I snuck in through the garden gate Every night that summer just to seal my fate oh And I screamed For whatever its worth I love you aint that the worst thing you ever heard? Yeah yeah yeah yeah
Crush,Tessa Violet,crush,"Uh, alright I can't focus on what needs to get done I'm on notice hoping that you don't run, ah You think I'm tepid but I'm misdiagnosed 'Cause I'm a stalker I seen all of your posts, ah-ah And I'm just tryna play it cool now But that's not what I wanna do now And I'm not tryna be with you now, you now Mhm You make it difficult to not overthink And when I'm with you I turn all shades of pink, ah I wanna touch you but don't wanna be weird It's such a rush, I'm thinking wish you were here, ah-ahh And I'm just tryna play it cool now But that's not what I wanna do now And I'm not tryna be with you now, you now But I could be your crush, like, throw you for a rush, like Hoping you'd text me so I could tell you I been thinking 'bout your touch like Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush I got a fascination with your presentation Making me feel like you're on my island You're my permanent vacation Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush Sorry I fill my calendar with stuff I can do Maybe if I'm busy it could keep me from you And I'm pretending you ain't been on my mind But I took an interest in the things that you like, ah-ahh And I'm just tryna play it cool now But that's not what I wanna do now And I'm not tryna be with you now, you now But I could be your crush, like, throw you for a rush, like Hoping you'd text me so I could tell you I been thinking 'bout your touch like Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush I got a fascination with your presentation Making me feel like you're on my island You're my permanent vacation Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush And yeah it's true that I'm a little bit intense, right But can you blame me when you keep me on the fence, like And I've been waiting, hoping that you'd wanna text, like Text like It's what I was born to do And yeah it's true that I'm a little bit intense, right But can you blame me when you keep me on the fence, like And I've been waiting, hoping that you'd wanna text, like Text like Ugh And I'm just tryna play it cool now But that's not what I wanna do now And I'm not tryna be with you now, you now But I could be your crush, like, throw you for a rush, like Hoping you'd text me so I could tell you I been thinking 'bout your touch like Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush I got a fascination with your presentation Making me feel like you're on my island You're my permanent vacation Touch, touch, touch, touch, touch I could be your crush, crush, crush, crush, crush Sorry"
